,image_id,label,source,0,fold_0,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6
0,1000015157.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
7,1001320321.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,train,test
18,1003888281.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,test,train,train
73,1012426959.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
109,1018973237.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
118,102039365.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
123,1021758544.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,test,train,train,train
136,1024089865.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
141,102485576.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,test,train,train
152,1026467332.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,test,train,train,train
158,1027796931.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,train,test
178,1033403106.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
198,1036959902.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,test,train,train
215,1040315063.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,train,test
243,1044718671.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
274,1048147223.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
291,1050949665.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
293,1051688339.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,train,test
295,1052095724.jpg,0,2020,Cassava Bacterial Blight (CBB),train,test,train,train,train,train,train
297,1052854295.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
321,1057462029.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,test,train,train
338,1060214168.jpg,0,2020,Cassava Bacterial Blight (CBB),test,train,train,train,train,train,train
395,1071960213.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
399,1072326766.jpg,0,2020,Cassava Bacterial Blight (CBB),train,test,train,train,train,train,train
423,1075249116.jpg,0,2020,Cassava Bacterial Blight (CBB),test,train,train,train,train,train,train
441,1078590865.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,test,train,train
456,1080407872.jpg,0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
