iter	MultiClassOneVsAll
0	0.6923038121
1	0.6914698323
2	0.69062612
3	0.6897961519
4	0.6889623532
5	0.6881186919
6	0.6872812526
7	0.6864441891
8	0.6856033397
9	0.6847685035
10	0.6839421602
11	0.6831083235
12	0.6822769638
13	0.6814494656
14	0.6806324089
15	0.6798076109
16	0.6789892106
17	0.6781977114
18	0.6773876882
19	0.6765689316
20	0.6757514173
21	0.674935717
22	0.6741236494
23	0.6733169862
24	0.6725076968
25	0.6716958474
26	0.6708899662
27	0.6701080053
28	0.6692961624
29	0.6684861812
30	0.6676865483
31	0.6669061699
32	0.6661084495
33	0.6653306071
34	0.6645343056
35	0.6637429512
36	0.6629461872
37	0.6621802999
38	0.6614013012
39	0.6606233263
40	0.6598292115
41	0.6590393783
42	0.6582648203
43	0.6574745925
44	0.6567006927
45	0.655917206
46	0.6551457976
47	0.6543881703
48	0.6536208252
49	0.6528521592
50	0.6520858926
51	0.6513187302
52	0.6505559529
53	0.649788765
54	0.6490255545
55	0.648261229
56	0.6475119444
57	0.6467446239
58	0.6459890711
59	0.6452292446
60	0.6444705274
61	0.6437127772
62	0.6429622467
63	0.642210909
64	0.6414561702
65	0.6407006881
66	0.6399561705
67	0.6392038099
68	0.6384762756
69	0.6377314806
70	0.6369955305
71	0.6362573413
72	0.6355181683
73	0.6347817775
74	0.6340462194
75	0.6333012712
76	0.6325625247
77	0.6318236001
78	0.6310873787
79	0.6303639008
80	0.6296307973
81	0.6288939846
82	0.6281672833
83	0.6274324359
84	0.626698843
85	0.6259701474
86	0.6252545495
87	0.6245348599
88	0.6238155077
89	0.6231205134
90	0.6223985151
91	0.6216860536
92	0.6209708353
93	0.620260833
94	0.619548007
95	0.618835938
96	0.6181205955
97	0.6174107309
98	0.616715844
99	0.6160218767
100	0.6153160651
101	0.6146139464
102	0.6139250447
103	0.6132171674
104	0.6125116025
105	0.6118107217
106	0.6111118007
107	0.610410747
108	0.6097088869
109	0.6090290303
110	0.6083355683
111	0.6076449642
112	0.6069600042
113	0.6062692954
114	0.6055890985
115	0.6048965061
116	0.6042122841
117	0.6035207427
118	0.6028412375
119	0.6021728819
120	0.6014927449
121	0.6008121708
122	0.6001314131
123	0.5994520797
124	0.5987727247
125	0.5980991659
126	0.5974239501
127	0.5967513357
128	0.5960858522
129	0.5954078199
130	0.5947412718
131	0.5940711737
132	0.5934106044
133	0.5927541014
134	0.5921034248
135	0.5914573041
136	0.5907927851
137	0.5901325051
138	0.5894798343
139	0.5888234228
140	0.5881700306
141	0.5875201092
142	0.5868603427
143	0.5862022063
144	0.585550399
145	0.5848955017
146	0.5842449303
147	0.5836054978
148	0.5829591727
149	0.5823122304
150	0.581672218
151	0.5810233232
152	0.58037158
153	0.5797298777
154	0.57908489
155	0.5784473759
156	0.5778199985
157	0.5771810257
158	0.5765403731
159	0.5759006838
160	0.5752668489
161	0.5746286876
162	0.5740036774
163	0.5733732875
164	0.5727409868
165	0.5721191553
166	0.5714915419
167	0.5708794226
168	0.5702533195
169	0.5696274463
170	0.5690199274
171	0.5684004202
172	0.5677932115
173	0.5671656267
174	0.5665433986
175	0.5659294095
176	0.5653153346
177	0.56469161
178	0.5640795989
179	0.5634635631
180	0.5628567459
181	0.562241259
182	0.5616282191
183	0.5610225193
184	0.5604102285
185	0.5598069936
186	0.5591975811
187	0.5585901011
188	0.557980298
189	0.557379416
190	0.5567794511
191	0.5561770611
192	0.5555790737
193	0.5549796415
194	0.5543754091
195	0.5537745858
