iter	Passed	Remaining
0	3	54114
1	6	52279
2	10	51769
3	14	55667
4	18	55582
5	21	54750
6	25	53919
7	29	55152
8	33	56325
9	37	55678
10	40	55245
11	43	54812
12	49	56554
13	52	56244
14	55	55896
15	59	55524
16	65	57307
17	68	57214
18	72	57002
19	75	56705
20	80	57471
21	84	57309
22	87	57172
23	91	56997
24	95	57248
25	99	57573
26	103	57399
27	107	57257
28	112	58207
29	116	58194
30	120	58041
31	123	57908
32	128	58235
33	133	58574
34	136	58429
35	140	58296
36	144	58577
37	149	58802
38	152	58674
39	156	58552
40	161	58842
41	165	59069
42	169	59003
43	173	58918
44	178	59373
45	182	59361
46	186	59294
47	190	59206
48	195	59695
49	199	59667
50	203	59592
51	207	59511
52	211	59551
53	215	59655
54	219	59576
55	222	59504
56	227	59710
57	232	59881
58	236	59800
59	239	59743
60	246	60364
61	250	60317
62	254	60243
63	257	60183
64	263	60476
65	267	60430
66	270	60360
67	275	60434
68	279	60498
69	283	60454
70	287	60492
71	292	60573
72	297	60786
73	301	60764
74	305	60742
75	311	61177
76	315	61156
77	319	61111
78	323	61050
79	328	61273
80	332	61246
81	336	61199
82	341	61286
83	346	61539
84	350	61495
85	354	61446
86	360	61804
87	364	61843
88	368	61790
89	372	61732
90	379	62117
91	383	62075
92	386	62017
93	392	62260
94	396	62254
95	400	62211
96	404	62156
97	409	62338
98	414	62323
99	417	62274
100	421	62219
101	427	62461
102	431	62435
103	435	62409
104	439	62406
105	445	62601
106	449	62558
107	453	62510
108	458	62683
109	463	62749
110	467	62702
111	471	62647
112	477	62900
113	481	62863
114	485	62808
115	490	62948
116	497	63281
117	501	63227
118	506	63320
119	511	63425
120	515	63384
121	519	63335
122	524	63453
123	529	63522
124	533	63479
125	537	63423
126	542	63499
127	546	63511
128	550	63458
129	554	63412
130	559	63541
131	563	63513
132	567	63462
133	572	63503
134	577	63584
135	581	63540
136	585	63494
137	591	63710
138	595	63671
139	599	63631
140	603	63617
141	609	63757
142	613	63717
143	617	63663
144	621	63661
145	626	63739
146	630	63703
147	634	63654
148	639	63747
149	644	63763
150	647	63720
151	651	63680
152	655	63641
153	659	63595
154	663	63551
155	667	63519
156	671	63508
157	675	63467
158	679	63424
159	683	63378
160	687	63371
161	691	63325
162	695	63282
163	699	63240
164	703	63241
165	707	63201
166	711	63162
167	714	63123
168	718	63091
169	722	63051
170	726	63008
171	730	62977
172	734	62940
173	738	62923
174	742	62880
175	745	62830
176	749	62785
177	753	62770
178	757	62728
179	761	62680
180	764	62632
181	769	62614
182	772	62564
183	776	62522
184	780	62479
185	783	62431
186	787	62404
187	791	62364
188	795	62325
189	799	62293
190	803	62281
191	807	62242
192	810	62203
193	814	62165
194	818	62128
195	822	62089
196	825	62049
197	829	62008
198	833	61974
199	837	61948
200	840	61913
201	844	61870
202	848	61833
203	852	61818
204	856	61780
205	859	61739
206	863	61700
207	867	61664
208	870	61632
209	874	61603
210	878	61568
211	882	61535
212	886	61514
213	889	61480
214	893	61454
215	897	61422
216	901	61405
217	905	61406
218	909	61373
219	913	61351
220	917	61343
221	921	61347
222	925	61320
223	929	61300
224	933	61302
225	937	61275
226	941	61251
227	945	61226
228	948	61204
229	954	61308
230	958	61312
231	962	61288
232	967	61343
233	974	61478
234	978	61462
235	983	61512
236	988	61555
237	992	61534
238	995	61512
239	1000	61508
240	1004	61538
241	1008	61525
242	1012	61500
243	1019	61648
244	1023	61637
245	1027	61609
246	1032	61650
247	1036	61670
248	1040	61648
249	1044	61613
250	1049	61657
251	1054	61689
252	1057	61664
253	1061	61632
254	1066	61680
255	1070	61660
256	1074	61630
257	1078	61603
258	1084	61710
259	1088	61690
260	1091	61658
261	1095	61635
262	1101	61725
263	1105	61707
264	1109	61684
265	1113	61680
266	1118	61725
267	1122	61709
268	1126	61680
269	1131	61703
270	1136	61765
271	1140	61743
272	1144	61716
273	1149	61783
274	1153	61766
275	1157	61740
276	1161	61722
277	1165	61735
278	1170	61760
279	1174	61737
280	1178	61721
281	1184	61800
282	1188	61812
283	1192	61790
284	1197	61843
285	1202	61848
286	1206	61834
287	1210	61817
288	1215	61888
289	1220	61898
290	1224	61879
291	1228	61879
292	1233	61922
293	1237	61904
294	1241	61886
295	1245	61877
296	1254	62101
297	1258	62085
298	1264	62173
299	1269	62193
300	1273	62173
301	1277	62154
302	1282	62198
303	1286	62184
304	1290	62161
305	1293	62133
306	1299	62175
307	1303	62163
308	1306	62133
309	1310	62106
310	1316	62159
311	1320	62145
312	1323	62117
313	1328	62131
314	1334	62205
315	1338	62177
316	1341	62149
317	1347	62193
318	1351	62201
319	1355	62175
320	1358	62145
321	1364	62210
322	1368	62191
323	1372	62166
324	1376	62162
325	1381	62162
326	1385	62147
327	1388	62120
328	1392	62111
329	1398	62164
330	1402	62150
331	1406	62132
332	1410	62135
333	1414	62132
334	1419	62133
335	1423	62114
336	1428	62143
337	1432	62144
338	1436	62142
339	1441	62137
340	1445	62160
341	1451	62204
342	1455	62198
343	1460	62236
344	1465	62271
345	1470	62258
346	1473	62236
347	1478	62260
348	1483	62289
349	1488	62286
350	1492	62290
351	1497	62302
352	1501	62286
353	1505	62285
354	1510	62298
355	1514	62311
356	1519	62314
357	1523	62293
358	1529	62377
359	1533	62360
360	1537	62348
361	1543	62399
362	1547	62410
363	1551	62391
364	1555	62369
365	1560	62413
366	1565	62420
367	1569	62404
368	1573	62405
369	1578	62429
370	1583	62427
371	1587	62408
372	1593	62478
373	1600	62607
374	1604	62588
375	1608	62571
376	1613	62590
377	1617	62572
378	1621	62554
379	1627	62610
380	1631	62612
381	1635	62595
382	1640	62594
383	1645	62622
384	1649	62605
385	1653	62588
386	1658	62607
387	1663	62630
388	1667	62618
389	1671	62599
390	1676	62638
391	1680	62629
392	1684	62610
393	1688	62592
394	1694	62670
395	1698	62654
396	1702	62634
397	1709	62723
398	1713	62705
399	1717	62685
400	1721	62664
401	1727	62737
402	1731	62722
403	1735	62704
404	1742	62791
405	1746	62777
406	1750	62759
407	1754	62740
408	1760	62806
409	1767	62904
410	1774	62989
411	1778	62974
412	1782	62956
413	1786	62935
414	1791	62971
415	1795	62952
416	1799	62933
417	1803	62914
418	1808	62952
419	1813	62938
420	1816	62916
421	1821	62933
422	1827	62960
423	1831	62945
424	1834	62926
425	1840	62957
426	1844	62948
427	1848	62929
428	1852	62909
429	1857	62939
430	1861	62923
431	1865	62907
432	1869	62895
433	1875	62935
434	1879	62917
435	1882	62898
436	1887	62885
437	1891	62900
438	1895	62882
439	1899	62858
440	1904	62880
441	1909	62897
442	1913	62876
443	1917	62857
444	1923	62920
445	1927	62912
446	1931	62891
447	1936	62903
448	1941	62908
449	1945	62893
450	1949	62875
451	1953	62868
452	1958	62889
453	1962	62869
454	1966	62848
455	1971	62887
456	1976	62883
457	1979	62864
458	1983	62847
459	1989	62898
460	1993	62882
461	1997	62865
462	2002	62860
463	2006	62871
464	2010	62856
465	2014	62839
466	2019	62862
467	2024	62871
468	2028	62855
469	2032	62836
470	2038	62883
471	2042	62866
472	2046	62848
473	2050	62851
474	2056	62874
475	2060	62856
476	2063	62839
477	2069	62882
478	2073	62867
479	2077	62854
480	2081	62836
481	2087	62880
482	2091	62865
483	2095	62851
484	2099	62846
485	2105	62873
486	2109	62854
487	2112	62835
488	2118	62855
489	2122	62861
490	2127	62853
491	2130	62834
492	2136	62877
493	2140	62867
494	2144	62850
495	2148	62832
496	2154	62875
497	2158	62859
498	2162	62840
499	2167	62844
500	2172	62865
501	2176	62850
502	2180	62833
503	2187	62910
504	2191	62906
505	2195	62888
506	2200	62899
507	2206	62936
508	2210	62917
509	2213	62899
510	2220	62954
511	2224	62942
512	2228	62926
513	2233	62946
514	2238	62965
515	2242	62950
516	2246	62929
517	2252	62968
518	2256	62952
519	2260	62940
520	2264	62921
521	2269	62957
522	2273	62940
523	2277	62926
524	2283	62949
525	2288	62959
526	2292	62945
527	2295	62929
528	2302	62985
529	2306	62972
530	2310	62954
531	2314	62941
532	2319	62969
533	2323	62951
534	2327	62933
535	2332	62953
536	2337	62947
537	2341	62933
538	2345	62915
539	2351	62971
540	2355	62955
541	2359	62937
542	2364	62958
543	2369	62965
544	2373	62950
545	2377	62934
546	2383	62988
547	2387	62974
548	2391	62954
549	2396	62954
550	2400	62955
551	2404	62940
552	2408	62929
553	2414	62951
554	2418	62953
555	2422	62940
556	2426	62922
557	2433	62979
558	2437	62964
559	2441	62946
560	2446	62968
561	2451	62984
562	2455	62967
563	2459	62955
564	2465	62987
565	2470	62990
566	2473	62973
567	2478	62973
568	2482	62971
569	2486	62957
570	2490	62945
571	2496	62958
572	2500	62966
573	2504	62956
574	2508	62939
575	2513	62941
576	2517	62939
577	2521	62923
578	2525	62908
579	2531	62931
580	2535	62917
581	2539	62901
582	2542	62884
583	2547	62893
584	2551	62879
585	2555	62862
586	2559	62844
587	2565	62885
588	2569	62870
589	2573	62853
590	2578	62874
591	2583	62871
592	2587	62857
593	2591	62840
594	2596	62866
595	2600	62852
596	2604	62837
597	2608	62820
598	2614	62854
599	2618	62841
600	2622	62826
601	2626	62820
602	2630	62804
603	2634	62787
604	2638	62770
605	2641	62753
606	2645	62736
607	2649	62720
608	2653	62705
609	2657	62695
610	2661	62686
611	2665	62674
612	2669	62660
613	2673	62646
614	2677	62636
615	2681	62623
616	2685	62612
617	2689	62600
618	2694	62591
619	2698	62578
620	2702	62568
621	2706	62555
622	2710	62542
623	2714	62528
624	2718	62516
625	2722	62503
626	2726	62491
627	2730	62477
628	2734	62465
629	2738	62453
630	2742	62440
631	2746	62428
632	2750	62416
633	2754	62404
634	2758	62392
635	2762	62381
636	2766	62370
637	2770	62358
638	2774	62349
639	2778	62334
640	2781	62318
641	2785	62303
642	2789	62288
643	2793	62272
644	2797	62258
645	2801	62245
646	2805	62229
647	2809	62219
648	2813	62203
649	2816	62186
650	2820	62174
651	2825	62169
652	2828	62153
653	2832	62137
654	2836	62120
655	2840	62108
656	2844	62094
657	2848	62078
658	2851	62063
659	2855	62048
660	2859	62038
661	2863	62023
662	2867	62012
663	2871	62000
664	2876	62005
665	2880	61992
666	2884	61977
667	2888	61963
668	2891	61949
669	2895	61933
670	2899	61919
671	2903	61904
672	2907	61892
673	2911	61878
674	2915	61864
675	2918	61849
676	2924	61867
677	2929	61876
678	2933	61863
679	2936	61849
680	2942	61869
681	2946	61857
682	2950	61844
683	2954	61829
684	2959	61838
685	2963	61826
686	2966	61811
687	2970	61795
688	2977	61848
689	2981	61838
690	2985	61825
691	2991	61856
692	2995	61845
693	2999	61832
694	3003	61817
