,Unnamed: 0,image_id,label,source,0,fold_0,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6
0,0.0,1000015157.jpg,0.0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
1,7.0,1001320321.jpg,0.0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,train,test
2,18.0,1003888281.jpg,0.0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,test,train,train
3,73.0,1012426959.jpg,0.0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
4,109.0,1018973237.jpg,0.0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
5,118.0,102039365.jpg,0.0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
6,123.0,1021758544.jpg,0.0,2020,Cassava Bacterial Blight (CBB),train,train,train,test,train,train,train
7,136.0,1024089865.jpg,0.0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
8,141.0,102485576.jpg,0.0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,test,train,train
9,152.0,1026467332.jpg,0.0,2020,Cassava Bacterial Blight (CBB),train,train,train,test,train,train,train
10,158.0,1027796931.jpg,0.0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,train,test
11,178.0,1033403106.jpg,0.0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
12,198.0,1036959902.jpg,0.0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,test,train,train
13,215.0,1040315063.jpg,0.0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,train,test
14,243.0,1044718671.jpg,0.0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
15,274.0,1048147223.jpg,0.0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
16,291.0,1050949665.jpg,0.0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
17,293.0,1051688339.jpg,0.0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,train,test
18,295.0,1052095724.jpg,0.0,2020,Cassava Bacterial Blight (CBB),train,test,train,train,train,train,train
19,297.0,1052854295.jpg,0.0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
20,321.0,1057462029.jpg,0.0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,test,train,train
21,338.0,1060214168.jpg,0.0,2020,Cassava Bacterial Blight (CBB),test,train,train,train,train,train,train
22,395.0,1071960213.jpg,0.0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
23,399.0,1072326766.jpg,0.0,2020,Cassava Bacterial Blight (CBB),train,test,train,train,train,train,train
24,423.0,1075249116.jpg,0.0,2020,Cassava Bacterial Blight (CBB),test,train,train,train,train,train,train
25,441.0,1078590865.jpg,0.0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,test,train,train
26,456.0,1080407872.jpg,0.0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
27,459.0,1081331009.jpg,0.0,2020,Cassava Bacterial Blight (CBB),train,train,train,test,train,train,train
28,482.0,1085950509.jpg,0.0,2020,Cassava Bacterial Blight (CBB),test,train,train,train,train,train,train
29,501.0,1089759212.jpg,0.0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
30,531.0,1094295442.jpg,0.0,2020,Cassava Bacterial Blight (CBB),test,train,train,train,train,train,train
31,558.0,109816879.jpg,0.0,2020,Cassava Bacterial Blight (CBB),train,train,train,test,train,train,train
32,586.0,1101952886.jpg,0.0,2020,Cassava Bacterial Blight (CBB),test,train,train,train,train,train,train
33,592.0,1103304372.jpg,0.0,2020,Cassava Bacterial Blight (CBB),train,train,train,test,train,train,train
34,603.0,1105255922.jpg,0.0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
35,646.0,111358933.jpg,0.0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
36,693.0,1119847734.jpg,0.0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
37,713.0,1123269893.jpg,0.0,2020,Cassava Bacterial Blight (CBB),train,train,train,test,train,train,train
38,720.0,1124291241.jpg,0.0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,test,train,train
39,741.0,1127286868.jpg,0.0,2020,Cassava Bacterial Blight (CBB),train,train,train,test,train,train,train
40,784.0,1134422280.jpg,0.0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
41,868.0,1148829591.jpg,0.0,2020,Cassava Bacterial Blight (CBB),test,train,train,train,train,train,train
42,873.0,1149243998.jpg,0.0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
43,894.0,1152631724.jpg,0.0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
44,970.0,1166973570.jpg,0.0,2020,Cassava Bacterial Blight (CBB),train,test,train,train,train,train,train
45,978.0,11690064.jpg,0.0,2020,Cassava Bacterial Blight (CBB),train,train,train,test,train,train,train
46,1046.0,1179913576.jpg,0.0,2020,Cassava Bacterial Blight (CBB),train,train,test,train,train,train,train
47,1058.0,1181678723.jpg,0.0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
48,1061.0,1182217128.jpg,0.0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,test,train,train
49,1083.0,1185995427.jpg,0.0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,test,train,train
50,1154.0,1200666322.jpg,0.0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,train,test,train
51,1174.0,1203861431.jpg,0.0,2020,Cassava Bacterial Blight (CBB),train,test,train,train,train,train,train
52,1189.0,1207142999.jpg,0.0,2020,Cassava Bacterial Blight (CBB),train,train,train,train,test,train,train
